"Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Days Old","Total Citations","Total Citations Per Day","Citations CrossRef Per Day","Citations PubMed Per Day","Citations Scopus Per Day","HTML Page Views Per Day","XML Downloads Per Day","PDF Downloads Per Day","Combined Downloads Per Day","Blog Postgenomic Per Day","Blog Nature Per Day","Blog Bloglines Per Day","Number of Trackbacks Per Day","Social Bookmarking – CiteULike Per Day","Social Bookmarking – Connotea Per Day","Number of Ratings Per Day",,"Number of Note threads Per Day","Number of replies to Notes Per Day","Number of Comment threads Per Day","Number of 'Star Ratings' that also include a text comment Per Day"
08/15/08,2008,"PLoS Genetics","RA","Delayed and Accelerated Aging Share Common Longevity Assurance Mechanisms",431,9,0.02,0.01,0,0.01,1.44,0.05,5.64,0,0,0,0,0,0,0,0,,0,0,0,0.02
08/22/08,2008,"PLoS Genetics","RA","An Sp1/Sp3 Binding Polymorphism Confers Methylation Protection",424,1,0,0,0,0,0.72,0.04,3.23,0,0,0,0,0,0,0,0,,0,0,0,0
08/22/08,2008,"PLoS Genetics","RA","Deep Sequencing Analysis of Small Noncoding RNA and mRNA Targets of the Global Post-Transcriptional Regulator, Hfq",424,25,0.06,0.02,0.01,0.03,2.56,0.05,12.94,0,0,0,0.01,0,0,0,0,,0,0,0,0.06
08/22/08,2008,"PLoS Genetics","RA","Identification and Functional Analysis of Light-Responsive Unique Genes and Gene Family Members in Rice",424,2,0,0,0,0,0.68,0.02,3.41,0,0,0,0,0,0,0.01,0,,0,0,0,0
08/22/08,2008,"PLoS Genetics","RA","Divergent Evolution of CHD3 Proteins Resulted in MOM1 Refining Epigenetic Control in Vascular Plants",424,0,0,0,0,0,0.58,0.03,2.82,0,0,0,0,0,0,0,0,,0,0,0,0
08/22/08,2008,"PLoS Genetics","RA","Genome-Wide Scan on Total Serum IgE Levels Identifies FCER1A as Novel Susceptibility Locus",424,8,0.02,0.01,0,0,1.36,0.03,8.98,0,0,0,0.01,0,0,0,0,,0,0,0,0.02
08/29/08,2008,"PLoS Genetics","RA","Resolving Individuals Contributing Trace Amounts of DNA to Highly Complex Mixtures Using High-Density SNP Genotyping Microarrays",417,24,0.06,0.03,0.01,0.01,4.64,0.1,27.78,0,0,0,0.03,0,0,0.01,0,,0.01,0,0,0.06
08/29/08,2008,"PLoS Genetics","RA","Repeated Adaptive Introgression at a Gene under Multiallelic Balancing Selection",417,2,0,0,0,0,0.67,0.02,3.68,0,0,0,0,0,0,0,0,,0,0,0,0
08/29/08,2008,"PLoS Genetics","RA","The Evolution of Epigenetic Regulators CTCF and BORIS/CTCFL in Amniotes",417,0,0,0,0,0,0.83,0.04,3.97,0,0,0,0,0,0,0,0,,0,0,0,0
09/05/08,2008,"PLoS Genetics","RA","Heterokaryon-Based Reprogramming of Human B Lymphocytes for Pluripotency Requires Oct4 but Not Sox2",410,3,0.01,0,0,0,1.13,0.13,5.41,0,0,0,0,0,0,0,0,,0,0,0,0.01
08/29/08,2008,"PLoS Genetics","RA","WDR55 Is a Nucleolar Modulator of Ribosomal RNA Synthesis, Cell Cycle Progression, and Teleost Organ Development",417,0,0,0,0,0,0.4,0.02,2.57,0,0,0,0,0,0,0,0,,0,0,0,0
08/29/08,2008,"PLoS Genetics","RA","Analysis of Transposon Interruptions Suggests Selection for L1 Elements on the X Chromosome",417,0,0,0,0,0,0.54,0.02,2.53,0,0,0,0,0,0,0,0,,0,0,0,0
08/29/08,2008,"PLoS Genetics","RA","The Challenge of Regulation in a Minimal Photoautotroph: Non-Coding RNAs in Prochlorococcus",417,6,0.01,0,0,0.01,0.62,0.03,3.18,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/05/08,2008,"PLoS Genetics","RA","Identification of Neural Crest and Glial Enhancers at the Mouse Sox10 Locus through Transgenesis in Zebrafish",410,3,0.01,0,0,0,0.84,0.1,3.8,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/05/08,2008,"PLoS Genetics","RA","Segmental Duplications Arise from Pol32-Dependent Repair of Broken Forks through Two Alternative Replication-Based Mechanisms",410,13,0.03,0.01,0.01,0.01,0.71,0.1,3.31,0,0,0,0.01,0,0,0,0,,0,0,0,0.03
09/05/08,2008,"PLoS Genetics","RA","Somatic Pairing of Chromosome 19 in Renal Oncocytoma Is Associated with Deregulated ELGN2-Mediated Oxygen-Sensing Response",410,3,0.01,0,0,0,0.33,0.11,2.38,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/05/08,2008,"PLoS Genetics","RA","A Sox10 Expression Screen Identifies an Amino Acid Essential for Erbb3 Function",410,1,0,0,0,0,0.44,0.1,2.54,0,0,0,0,0,0,0,0,,0,0,0,0
09/05/08,2008,"PLoS Genetics","RA","Stability and Dynamics of Polycomb Target Sites in Drosophila Development",410,6,0.01,0,0,0.01,0.72,0.1,4.37,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/05/08,2008,"PLoS Genetics","RA","Genetic Modifiers of MeCP2 Function in Drosophila",410,1,0,0,0,0,0.91,0.11,5.33,0,0,0,0,0,0,0,0,,0,0,0,0
09/26/08,2008,"PLoS Genetics","non RA","A Review of Family-Based Tests for Linkage Disequilibrium between a Quantitative Trait and a Genetic Marker",389,1,0,0,0,0,1.53,0.12,6.17,0,0,0,0.01,0,0,0,0,,0,0,0,0
08/22/08,2008,"PLoS Genetics","RA","C. elegans Nucleostemin Is Required for Larval Growth and Germline Stem Cell Division",424,0,0,0,0,0,0.41,0.03,2.23,0,0,0,0,0,0,0,0,,0,0,0,0
08/29/08,2008,"PLoS Genetics","non RA","Sweating the Details: An Interview with Jamie Thomson",417,0,0,0,0,0,0.21,0.02,2.54,0,0,0,0,0,0,0.01,0,,0,0,0,0
08/29/08,2008,"PLoS Genetics","RA","A Catalog of Neutral and Deleterious Polymorphism in Yeast",417,5,0.01,0,0,0,0.76,0.02,4.52,0,0,0,0.02,0.01,0,0,0,,0,0,0,0.01
09/12/08,2008,"PLoS Genetics","RA","Is Mate Choice in Humans MHC-Dependent?",403,1,0,0,0,0,2.9,0.15,19.8,0,0,0.01,0.02,0,0,0,0,,0.01,0,0,0
09/12/08,2008,"PLoS Genetics","RA","The Genome of Borrelia recurrentis, the Agent of Deadly Louse-Borne Relapsing Fever, Is a Degraded Subset of Tick-Borne Borrelia duttonii",403,14,0.03,0.01,0,0.02,0.61,0.11,3.54,0,0,0,0,0,0,0,0,,0,0,0,0.03
09/12/08,2008,"PLoS Genetics","RA","MUS81 Generates a Subset of MLH1-MLH3?Independent Crossovers in Mammalian Meiosis",403,3,0.01,0,0,0.01,0.56,0.11,2.49,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/12/08,2008,"PLoS Genetics","RA","The Genomic Distribution and Function of Histone Variant HTZ-1 during C. elegans Embryogenesis",403,7,0.02,0.01,0,0.01,0.86,0.12,5.83,0,0,0,0,0,0,0,0,,0,0,0,0.02
09/26/08,2008,"PLoS Genetics","RA","Csm4, in Collaboration with Ndj1, Mediates Telomere-Led Chromosome Dynamics and Recombination during Yeast Meiosis",389,3,0.01,0,0,0.01,0.94,0.11,4.02,0,0,0,0,0,0,0,0.01,,0,0,0,0.01
09/12/08,2008,"PLoS Genetics","RA","Human MLH1 Protein Participates in Genomic Damage Checkpoint Signaling in Response to DNA Interstrand Crosslinks, while MSH2 Functions in DNA Repair",403,3,0.01,0,0,0.01,0.65,0.11,3.18,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/12/08,2008,"PLoS Genetics","RA","The Histone H3K79 Methyltransferase Dot1L Is Essential for Mammalian Development and Heterochromatin Structure",403,6,0.01,0.01,0,0.01,1.41,0.12,6.24,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
09/12/08,2008,"PLoS Genetics","RA","Evolution of a New Function by Degenerative Mutation in Cephalochordate Steroid Receptors",403,4,0.01,0,0,0.01,0.8,0.1,3.67,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
09/19/08,2008,"PLoS Genetics","RA","A Mouse Model of Harlequin Ichthyosis Delineates a Key Role for Abca12 in Lipid Homeostasis",396,0,0,0,0,0,0.49,0.11,3.22,0,0,0,0,0,0,0,0,,0,0,0,0
09/19/08,2008,"PLoS Genetics","RA","Novel Mutations in TARDBP (TDP-43) in Patients with Familial Amyotrophic Lateral Sclerosis",396,23,0.06,0.03,0.01,0.02,1.29,0.12,5.58,0,0,0,0,0,0,0,0,,0,0,0,0.06
09/19/08,2008,"PLoS Genetics","RA","corona Is Required for Higher-Order Assembly of Transverse Filaments into Full-Length Synaptonemal Complex in Drosophila Oocytes",396,0,0,0,0,0,0.31,0.11,1.76,0,0,0,0,0,0,0,0,,0,0,0,0
09/19/08,2008,"PLoS Genetics","RA","Missense Mutation in Exon 2 of SLC36A1 Responsible for Champagne Dilution in Horses",396,3,0.01,0.01,0,0,0.88,0.12,7.43,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/26/08,2008,"PLoS Genetics","RA","Csm4-Dependent Telomere Movement on Nuclear Envelope Promotes Meiotic Recombination",389,3,0.01,0,0,0.01,0.86,0.13,3.45,0,0,0,0,0,0,0,0,,0,0,0,0.01
09/19/08,2008,"PLoS Genetics","RA","Screening and Replication using the Same Data Set: Testing Strategies for Family-Based Studies in which All Probands Are Affected",396,0,0,0,0,0,0.44,0.1,2.07,0,0,0,0,0,0,0,0,,0,0,0,0
09/19/08,2008,"PLoS Genetics","RA","An Approximate Bayesian Estimator Suggests Strong, Recurrent Selective Sweeps in Drosophila",396,3,0.01,0,0.01,0,0.86,0.1,4.2,0,0,0,0.02,0,0,0,0,,0,0,0,0.01
09/19/08,2008,"PLoS Genetics","RA","Deletion of the Pluripotency-Associated Tex19.1 Gene Causes Activation of Endogenous Retroviruses and Defective Spermatogenesis in Mice",396,0,0,0,0,0,0.7,0.11,3.43,0,0,0,0,0,0,0,0,,0,0,0,0
09/26/08,2008,"PLoS Genetics","RA","Sex-Specific Genetic Structure and Social Organization in Central Asia: Insights from a Multi-Locus Study",389,1,0,0,0,0,1.14,0.11,5.94,0,0,0,0,0,0,0,0,,0,0,0,0
09/26/08,2008,"PLoS Genetics","RA","FtsK-Dependent Dimer Resolution on Multiple Chromosomes in the Pathogen Vibrio cholerae",389,0,0,0,0,0,0.47,0.11,2.19,0,0,0,0,0,0,0,0,,0,0,0,0
09/26/08,2008,"PLoS Genetics","RA","Sex-Biased Evolutionary Forces Shape Genomic Patterns of Human Diversity",389,4,0.01,0.01,0,0,2.6,0.14,16.24,0,0,0.01,0.01,0,0,0,0,,0.01,0,0,0.01
09/26/08,2008,"PLoS Genetics","RA","Tracing the Source of Campylobacteriosis",389,10,0.03,0.01,0,0.02,1.73,0.14,8.68,0,0,0,0,0,0,0,0,,0,0,0,0.03
09/26/08,2008,"PLoS Genetics","RA","Intronic Alus Influence Alternative Splicing",389,3,0.01,0,0,0,1.37,0.12,5.32,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
10/03/08,2008,"PLoS Genetics","RA","Context-Dependent Requirement for dE2F during Oncogenic Proliferation",382,2,0.01,0,0,0,0.55,0.05,2.17,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/03/08,2008,"PLoS Genetics","RA","Zebrafish eda and edar Mutants Reveal Conserved and Ancestral Roles of Ectodysplasin Signaling in Vertebrates",382,5,0.01,0.01,0.01,0,0.83,0.05,3.34,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/03/08,2008,"PLoS Genetics","RA","A Myo6 Mutation Destroys Coordination between the Myosin Heads, Revealing New Functions of Myosin VI in the Stereocilia of Mammalian Inner Ear Hair Cells",382,1,0,0,0,0,0.73,0.06,3.04,0,0,0,0,0,0,0,0,,0,0,0,0
10/03/08,2008,"PLoS Genetics","RA","Mutability and Importance of a Hypermutable Cell Subpopulation that Produces Stress-Induced Mutants in Escherichia coli",382,3,0.01,0,0,0.01,0.82,0.06,3.33,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/03/08,2008,"PLoS Genetics","RA","Mutation and Evolutionary Rates in Ad?lie Penguins from the Antarctic",382,3,0.01,0,0,0.01,0.98,0.05,5.13,0,0,0,0,0,0,0,0,,0.01,0,0,0.01
09/26/08,2008,"PLoS Genetics","non RA","Chromosome Mechanics and Meiotic Engine Maintenance",389,0,0,0,0,0,0.83,0.13,3.95,0,0,0,0,0,0,0,0,,0,0,0,0
10/03/08,2008,"PLoS Genetics","RA","High-Throughput Phenotypic Characterization of Pseudomonas aeruginosa Membrane Transport Genes",382,1,0,0,0,0,0.77,0.05,3.26,0,0,0,0.01,0,0,0,0,,0,0,0,0
10/10/08,2008,"PLoS Genetics","RA","Efficient and Accurate Construction of Genetic Linkage Maps from the Minimum Spanning Tree of a Graph",375,0,0,0,0,0,0.74,0.05,3.83,0,0,0,0.01,0,0,0.01,0,,0,0,0,0
10/10/08,2008,"PLoS Genetics","RA","A TRPV Channel Modulates C. elegans Neurosecretion, Larval Starvation Survival, and Adult Lifespan",375,3,0.01,0,0,0,1.09,0.06,4.24,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/10/08,2008,"PLoS Genetics","RA","High-Resolution Mapping of Expression-QTLs Yields Insight into Human Gene Regulation",375,10,0.03,0.01,0.01,0.01,2.08,0.06,7.79,0,0,0,0.02,0,0,0,0,,0,0,0,0.03
10/10/08,2008,"PLoS Genetics","RA","Cooperation of Sumoylated Chromosomal Proteins in rDNA Maintenance",375,1,0,0,0,0,0.93,0.06,4.41,0,0,0,0,0,0,0,0,,0,0,0,0
10/10/08,2008,"PLoS Genetics","RA","A Position Effect on the Heritability of Epigenetic Silencing",375,3,0.01,0,0.01,0,2.36,0.09,9.32,0,0,0,0.02,0,0,0,0,,0,0,0,0.01
10/10/08,2008,"PLoS Genetics","RA","Drosophila Kismet Regulates Histone H3 Lysine 27 Methylation and Early Elongation by RNA Polymerase II",375,6,0.02,0.01,0.01,0,1.29,0.05,4.54,0,0,0,0,0,0,0,0,,0,0,0,0.02
10/10/08,2008,"PLoS Genetics","RA","Genetic Association and Expression Studies Indicate a Role of Toll-Like Receptor 8 in Pulmonary Tuberculosis",375,2,0.01,0,0,0,1.77,0.07,6.64,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/03/08,2008,"PLoS Genetics","RA","Time-Lapse Analysis and Mathematical Characterization Elucidate Novel Mechanisms Underlying Muscle Morphogenesis",382,0,0,0,0,0,0.55,0.06,2.97,0,0,0,0,0,0,0,0,,0,0,0,0
10/10/08,2008,"PLoS Genetics","RA","Identification and Replication of Three Novel Myopia Common Susceptibility Gene Loci on Chromosome 3q26 using Linkage and Linkage Disequilibrium Mapping",375,4,0.01,0,0.01,0,0.59,0.05,2.9,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/17/08,2008,"PLoS Genetics","RA","Mechanisms Underlying Hypoxia Tolerance in Drosophila melanogaster: hairy as a Metabolic Switch",368,2,0.01,0,0,0,1.15,0.06,5.27,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/17/08,2008,"PLoS Genetics","RA","The HLH-6 Transcription Factor Regulates C. elegans Pharyngeal Gland Development and Function",368,2,0.01,0,0,0,0.41,0.05,2.3,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/17/08,2008,"PLoS Genetics","RA","Variations in Stress Sensitivity and Genomic Expression in Diverse S. cerevisiae Isolates",368,1,0,0,0,0,1.13,0.06,4.2,0,0,0,0.01,0,0,0,0,,0,0,0,0
10/17/08,2008,"PLoS Genetics","RA","Regulatory Network Analyses Reveal Genome-Wide Potentiation of LIF Signaling by Glucocorticoids and Define an Innate Cell Defense Response",368,4,0.01,0,0,0.01,0.72,0.05,3.15,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/17/08,2008,"PLoS Genetics","RA","Diverse Splicing Patterns of Exonized Alu Elements in Human Tissues",368,4,0.01,0.01,0,0,1.79,0.06,9.07,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/17/08,2008,"PLoS Genetics","RA","Effects of Aneuploidy on Genome Structure, Expression, and Interphase Organization in Arabidopsis thaliana",368,1,0,0,0,0,0.86,0.05,3.64,0,0,0,0,0,0,0,0,,0,0,0,0
10/17/08,2008,"PLoS Genetics","RA","Depletion of Human Histone H1 Variants Uncovers Specific Roles in Gene Expression and Cell Growth",368,3,0.01,0.01,0,0,1.41,0.06,5.52,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
10/17/08,2008,"PLoS Genetics","RA","Condensin II Resolves Chromosomal Associations to Enable Anaphase I Segregation in Drosophila Male Meiosis",368,3,0.01,0,0.01,0,0.74,0.05,3.19,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/31/08,2008,"PLoS Genetics","non RA","Curling Up with a Story: An Interview with Sean Carroll",354,0,0,0,0,0,0.74,0.06,5.39,0,0,0,0,0,0,0.01,0,,0,0,0,0
10/24/08,2008,"PLoS Genetics","RA","The Anticonvulsant Ethosuximide Disrupts Sensory Function to Extend C. elegans Lifespan",361,0,0,0,0,0,0.67,0.06,3.5,0,0,0,0,0,0,0,0,,0,0,0,0
10/24/08,2008,"PLoS Genetics","RA","Predicting Unobserved Phenotypes for Complex Traits from Whole-Genome SNP Data",361,5,0.01,0.01,0,0.01,3.07,0.11,11.72,0,0,0,0.02,0,0,0,0,,0,0,0,0.01
10/24/08,2008,"PLoS Genetics","non RA","Genetical Genomics: Spotlight on QTL Hotspots",361,3,0.01,0.01,0,0,2.03,0.06,7.78,0,0,0,0.02,0,0,0,0,,0,0,0,0.01
10/24/08,2008,"PLoS Genetics","RA","Evolution and Dynamics of Regulatory Architectures Controlling Polymyxin B Resistance in Enteric Bacteria",361,2,0.01,0,0,0,0.67,0.06,2.86,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/24/08,2008,"PLoS Genetics","RA","Genetic Networks Controlling Structural Outcome of Glucosinolate Activation across Development",361,2,0.01,0,0,0,0.57,0.06,2.65,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/24/08,2008,"PLoS Genetics","RA","ZHP-3 Acts at Crossovers to Couple Meiotic Recombination with Synaptonemal Complex Disassembly and Bivalent Formation in C. elegans",361,1,0,0,0,0,0.68,0.07,3.29,0,0,0,0,0,0,0,0,,0,0,0,0
10/24/08,2008,"PLoS Genetics","RA","Two Pathways Recruit Telomerase to Saccharomyces cerevisiae Telomeres",361,4,0.01,0.01,0,0,0.97,0.06,3.77,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/24/08,2008,"PLoS Genetics","RA","Numt-Mediated Double-Strand Break Repair Mitigates Deletions during Primate Genome Evolution",361,3,0.01,0.01,0,0,0.67,0.05,3.44,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
10/31/08,2008,"PLoS Genetics","RA","The Novel Mouse Mutation Oblivion Inactivates the PMCA2 Pump and Causes Progressive Hearing Loss",354,1,0,0,0,0,0.66,0.06,4.6,0,0,0,0,0,0,0,0,,0,0,0,0
10/31/08,2008,"PLoS Genetics","RA","Genetic and Linguistic Coevolution in Northern Island Melanesia",354,5,0.01,0.01,0,0.01,1.11,0.07,5.36,0,0,0.01,0,0,0,0,0,,0,0,0,0.01
10/31/08,2008,"PLoS Genetics","RA","Mutation of the Zebrafish Nucleoporin elys Sensitizes Tissue Progenitors to Replication Stress",354,3,0.01,0.01,0,0,0.63,0.06,3.1,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/31/08,2008,"PLoS Genetics","RA","Essential Role of Chromatin Remodeling Protein Bptf in Early Mouse Embryos and Embryonic Stem Cells",354,0,0,0,0,0,1.23,0.09,4.78,0,0,0,0,0,0,0,0,,0,0,0,0
10/31/08,2008,"PLoS Genetics","RA","Genomewide Analysis of PRC1 and PRC2 Occupancy Identifies Two Classes of Bivalent Domains",354,12,0.03,0.02,0.01,0.01,4.28,0.08,14.4,0,0,0,0.01,0,0,0,0,,0,0,0,0.03
10/31/08,2008,"PLoS Genetics","RA","Adaptive Copy Number Evolution in Malaria Parasites",354,8,0.02,0.01,0.01,0.01,1.48,0.07,5.76,0,0,0,0.01,0,0,0,0,,0,0,0,0.02
10/31/08,2008,"PLoS Genetics","RA","Modifier Effects between Regulatory and Protein-Coding Variation",354,2,0.01,0,0,0,1.26,0.06,4.92,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
11/07/08,2008,"PLoS Genetics","RA","A Glial Variant of the Vesicular Monoamine Transporter Is Required To Store Histamine in the Drosophila Visual System",347,1,0,0,0,0,0.49,0.07,2.32,0,0,0,0,0,0,0,0,,0,0,0,0
11/07/08,2008,"PLoS Genetics","RA","Mutations in the SLC2A9 Gene Cause Hyperuricosuria and Hyperuricemia in the Dog",347,0,0,0,0,0,0.9,0.08,5.45,0,0,0,0,0,0,0,0,,0,0,0,0
11/07/08,2008,"PLoS Genetics","RA","Silent but Not Static: Accelerated Base-Pair Substitution in Silenced Chromatin of Budding Yeasts",347,2,0.01,0,0,0,0.75,0.06,3.31,0,0,0,0.02,0,0,0,0,,0,0,0,0.01
10/31/08,2008,"PLoS Genetics","non RA","Leaving the Past Behind",354,0,0,0,0,0,0.48,0.06,3.12,0,0,0,0,0,0,0,0,,0,0,0,0
11/07/08,2008,"PLoS Genetics","RA","High-Resolution Copy-Number Variation Map Reflects Human Olfactory Receptor Diversity and Evolution",347,3,0.01,0,0,0,1.59,0.08,6.27,0,0,0,0.02,0,0,0,0,,0,0,0,0.01
11/07/08,2008,"PLoS Genetics","RA","The Impact of the Nucleosome Code on Protein-Coding Sequence Evolution in Yeast",347,1,0,0,0,0,1.25,0.06,5.49,0,0,0,0.01,0,0,0,0,,0,0,0,0
11/07/08,2008,"PLoS Genetics","RA","The Evolutionary Dynamics of the Lion Panthera leo Revealed by Host and Viral Population Genomics",347,2,0.01,0,0,0,1.7,0.08,9.21,0,0,0.01,0,0,0,0,0,,0,0,0,0.01
11/07/08,2008,"PLoS Genetics","RA","Functional Polymorphisms in PRODH Are Associated with Risk and Protection for Schizophrenia and Fronto-Striatal Structure and Function",347,1,0,0,0,0,0.87,0.07,3.67,0,0,0,0,0,0,0,0,,0,0,0,0
11/14/08,2008,"PLoS Genetics","RA","p8/TTDA Overexpression Enhances UV-Irradiation Resistance and Suppresses TFIIH Mutations in a Drosophila Trichothiodystrophy Model",340,0,0,0,0,0,0.31,0.07,1.65,0,0,0,0,0,0,0,0,,0,0,0,0
11/14/08,2008,"PLoS Genetics","RA","Genetic Control of Variegated KIR Gene Expression: Polymorphisms of the Bi-Directional KIR3DL1 Promoter Are Associated with Distinct Frequencies of Gene Expression",340,3,0.01,0.01,0,0,0.79,0.08,3.05,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/21/08,2008,"PLoS Genetics","RA","Exploring Microbial Diversity and Taxonomy Using SSU rRNA Hypervariable Tag Sequencing",333,14,0.04,0.02,0.01,0.02,3.45,0.09,11.75,0,0,0,0.02,0,0,0,0,,0,0,0,0.04
11/14/08,2008,"PLoS Genetics","RA","Synonymous Genes Explore Different Evolutionary Landscapes",340,0,0,0,0,0,1.47,0.06,6.94,0,0,0,0.04,0,0,0,0,,0,0,0,0
11/14/08,2008,"PLoS Genetics","RA","CTCF cis-Regulates Trinucleotide Repeat Instability in an Epigenetic Manner: A Novel Basis for Mutational Hot Spot Determination",340,5,0.01,0,0,0.01,1.37,0.08,5.16,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
11/14/08,2008,"PLoS Genetics","RA","Bidirectional Transcription Directs Both Transcriptional Gene Activation and Suppression in Human Cells",340,14,0.04,0.02,0.01,0.01,3.21,0.1,11.14,0,0,0,0.01,0,0,0,0,,0,0,0,0.04
11/14/08,2008,"PLoS Genetics","RA","Murine Dishevelled 3 Functions in Redundant Pathways with Dishevelled 1 and 2 in Normal Cardiac Outflow Tract, Cochlea, and Neural Tube Development",340,3,0.01,0.01,0,0,1.15,0.09,3.97,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/14/08,2008,"PLoS Genetics","RA","Dissection of a QTL Hotspot on Mouse Distal Chromosome 1 that Modulates Neurobehavioral Phenotypes and Gene Expression",340,1,0,0,0,0,0.67,0.08,2.91,0,0,0,0,0,0,0,0,,0,0,0,0
11/14/08,2008,"PLoS Genetics","RA","Zebrafish Mutants calamity and catastrophe Define Critical Pathways of Gene?Nutrient Interactions in Developmental Copper Metabolism",340,1,0,0,0,0,0.48,0.07,2.56,0,0,0,0,0,0,0,0,,0,0,0,0
11/21/08,2008,"PLoS Genetics","RA","The Coordination of Centromere Replication, Spindle Formation, and Kinetochore?Microtubule Interaction in Budding Yeast",333,2,0.01,0,0,0,0.79,0.07,3.17,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/14/08,2008,"PLoS Genetics","RA","Aging Predisposes Oocytes to Meiotic Nondisjunction When the Cohesin Subunit SMC1 Is Reduced",340,1,0,0,0,0,0.8,0.08,3.52,0,0,0,0,0,0,0,0,,0,0,0,0
11/21/08,2008,"PLoS Genetics","RA","Hypermutability of Damaged Single-Strand DNA Formed at Double-Strand Breaks and Uncapped Telomeres in Yeast Saccharomyces cerevisiae",333,4,0.01,0.01,0.01,0,0.62,0.06,2.77,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/21/08,2008,"PLoS Genetics","RA","A Motor Function for the DEAD-Box RNA Helicase, Gemin3, in Drosophila",333,2,0.01,0,0,0,0.56,0.08,2.58,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/21/08,2008,"PLoS Genetics","RA","A Role for Oxidized DNA Precursors in Huntington's Disease?Like Striatal Neurodegeneration",333,1,0,0,0,0,0.63,0.07,2.71,0,0,0,0,0,0,0,0,,0,0,0,0
11/21/08,2008,"PLoS Genetics","RA","Indistinguishable Landscapes of Meiotic DNA Breaks in rad50+ and rad50S Strains of Fission Yeast Revealed by a Novel rad50+ Recombination Intermediate",333,2,0.01,0,0,0,0.47,0.07,2.07,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/28/08,2008,"PLoS Genetics","non RA","A Careful Look at Binding Site Reorganization in the even-skipped Enhancers of Drosophila and Sepsids",326,0,0,0,0,0,0.55,0.07,2.89,0,0,0,0.02,0,0,0,0,,0,0,0,0
11/21/08,2008,"PLoS Genetics","RA","A RAC/CDC-42?Independent GIT/PIX/PAK Signaling Pathway Mediates Cell Migration in C. elegans",333,3,0.01,0,0,0,0.73,0.08,3.01,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/21/08,2008,"PLoS Genetics","RA","Cell Cycle? and Chaperone-Mediated Regulation of H3K56ac Incorporation in Yeast",333,1,0,0,0,0,1.12,0.07,4.54,0,0,0,0,0,0,0,0,,0,0,0,0
11/21/08,2008,"PLoS Genetics","RA","Gene Regulation in Primates Evolves under Tissue-Specific Selection Pressures",333,6,0.02,0,0.01,0.01,1.93,0.08,8.14,0,0,0,0.04,0,0,0,0,,0,0,0,0.02
11/28/08,2008,"PLoS Genetics","non RA","Spindle Positioning, Meiotic Nonreduction, and Polyploidy in Plants",326,0,0,0,0,0,0.7,0.08,3.21,0,0,0,0,0,0,0,0,,0,0,0,0
11/21/08,2008,"PLoS Genetics","RA","Gamma-Linolenic and Stearidonic Acids Are Required for Basal Immunity in Caenorhabditis elegans through Their Effects on p38 MAP Kinase Activity",333,2,0.01,0,0,0,0.65,0.07,2.87,0,0,0,0,0,0,0,0,,0,0,0,0.01
11/28/08,2008,"PLoS Genetics","RA","Mutations in AtPS1 (Arabidopsis thaliana Parallel Spindle 1) Lead to the Production of Diploid Pollen Grains",326,2,0.01,0,0,0,1.11,0.08,4.11,0,0,0,0.01,0,0,0,0,,0,0,0,0.01
11/28/08,2008,"PLoS Genetics","RA","AML1/ETO Oncoprotein Is Directed to AML1 Binding Regions and Co-Localizes with AML1 and HEB on Its Targets",326,4,0.01,0.01,0,0,0.62,0.07,2.66,0,0,0,0,0,0,0,0,,0,0,0,0.01
